curie	label	scope	text	language	type	contributor	date
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Bachalor	de		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Bacharel	pt		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Bacharelado	pt		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Bachelor degree	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Bachelor's	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Bachelorstudium	de		orcid:0000-0003-4423-4370	
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Bachiller			orcid:0000-0003-4423-4370	2024-10-28
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Bachlor			orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasRelatedSynonym	Degree	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Graduada	pt		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Graduado	es		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasRelatedSynonym	Graduanda	pt		orcid:0000-0003-4423-4370	2024-10-28
QUALO:0000003	bachelor's degree	oboInOwl:hasRelatedSynonym	Graduando	pt		orcid:0000-0003-4423-4370	2024-10-28
QUALO:0000003	bachelor's degree	oboInOwl:hasRelatedSynonym	Graduate	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasRelatedSynonym	Graduated	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasRelatedSynonym	Graduation	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Graduação	pt		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasRelatedSynonym	Laurea	it		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasRelatedSynonym	Licence			orcid:0000-0003-4423-4370	2024-10-28
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Licenciada	es		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Licenciado	es		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Licenciatura	pt		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasRelatedSynonym	License			orcid:0000-0003-4423-4370	2024-10-28
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	LİSANS	tr		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Pregrado	es		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Undergraduate	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Undergraduate student	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Undergraduation	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	University graduate	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	YÜKSEK LİSANS	tr		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Yüksek Lisans	tr		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	bachelor	en		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym	Бакалавр	ru		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	Maestria	it		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	Maestro	it		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	Maestría	es		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	Master	en		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	Master 2	en		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	Master Degree	en		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	Master Degree Candidate	en		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasRelatedSynonym	Master Student	en		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	Master's	en		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasRelatedSynonym	Master's Student	en		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	Masters degree	en		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	Mestra	pt		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	Mestrado	pt		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	Mestranda	pt		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	Mestrando	pt		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	Tezli Yüksek Lisans	tk		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	магистр	ru		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	магістр	uk		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000004	master's degree	oboInOwl:hasExactSynonym	硕士研究生	zh		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctor (PhD)	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctor of Philosophy (Ph.D.)	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctor of Philosophy (PhD)	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctor of Phylosophy	en	OMO:0003006	orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctora			orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctorado	pt		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctoral	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctoral Candidate	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctoral Program	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctoral Researcher	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctoral Student	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctorando	es		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasRelatedSynonym	Doctorant	es		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctorat			orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctorate	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctorate (PhD)	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctorate degree	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctorate of Philosophy	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doktor	de		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasRelatedSynonym	Doktora			orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Dottorato di Ricerca	it		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doutor			orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doutora	pt		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doutorado			orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doutoramento	pt		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doutoranda	pt		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doutorando	pt		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Dr	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Dr.	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Dr. phil.	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Dr. rer. nat.	de		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Dr. rer. nat. (PhD)	de		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Joint PhD	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasRelatedSynonym	Magister	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Ph. D	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Ph. D.	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Ph.D	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Ph.D.	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Ph.D. Candidate	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Ph.D. student	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Ph.D.,	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Ph.D./Dr.	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Ph.D/Dr	en		orcid:0000-0003-4423-4370	2024-10-27
